score,story,gemeente,woningtype,inkomen,opleiding,gender
7,Elke bijdrage helpt het klimaat.,Westerveld,Huurwoning,Onder modaal,Middelbare school,Anders
7,Het is goed voor de toekomst.,Assen,Particuliere huurwoning,Boven modaal,Beroepsonderwijs,Vrouw
7,We moeten snel verduurzamen.,Westerveld,Koopwoning,Boven modaal,Middelbare school,Geen antwoord
7,Elke bijdrage helpt het klimaat.,Borger-Odoorn,Huurwoning,Onder modaal,Middelbare school,Vrouw
7,Elke bijdrage helpt het klimaat.,De Wolden,Sociale huurwoning,Boven modaal,Basisschool,Geen antwoord
6,Duurzame energie is belangrijk.,Tynaarlo,Sociale huurwoning,Rondom modaal,Middelbare school,Vrouw
6,Ik ben groot voorstander van zon en wind.,Assen,Huurwoning,Rondom modaal,Basisschool,Geen antwoord
6,Ik ben groot voorstander van zon en wind.,De Wolden,Sociale huurwoning,Rondom modaal,Basisschool,Vrouw
6,Duurzame energie is belangrijk.,Assen,Sociale huurwoning,Boven modaal,Wetenschappelijk onderwijs,Anders
6,We moeten snel verduurzamen.,Coevorden,Particuliere huurwoning,Onder modaal,Wetenschappelijk onderwijs,Man
6,Elke bijdrage helpt het klimaat.,Westerveld,Particuliere huurwoning,Boven modaal,Beroepsonderwijs,Man
6,Elke bijdrage helpt het klimaat.,Westerveld,Koopwoning,Onder modaal,Beroepsonderwijs,Anders
6,Elke bijdrage helpt het klimaat.,Aa en Hunze,Huurwoning,Boven modaal,Middelbare school,Man
6,Elke bijdrage helpt het klimaat.,Hoogeveen,Huurwoning,Rondom modaal,Middelbare school,Man
6,Ik ben groot voorstander van zon en wind.,Tynaarlo,Particuliere huurwoning,Rondom modaal,Middelbare school,Geen antwoord
6,We moeten snel verduurzamen.,Emmen,Huurwoning,Boven modaal,Beroepsonderwijs,Anders
6,Ik ben groot voorstander van zon en wind.,Assen,Particuliere huurwoning,Onder modaal,Wetenschappelijk onderwijs,Man
6,Ik ben groot voorstander van zon en wind.,Hoogeveen,Particuliere huurwoning,Boven modaal,Basisschool,Anders
6,We moeten snel verduurzamen.,Emmen,Koopwoning,Rondom modaal,Beroepsonderwijs,Geen antwoord
6,Ik ben groot voorstander van zon en wind.,Tynaarlo,Koopwoning,Rondom modaal,Beroepsonderwijs,Vrouw
6,"Zolang het goed geregeld is, vind ik het prima.",Emmen,Koopwoning,Boven modaal,Basisschool,Vrouw
6,We moeten snel verduurzamen.,Coevorden,Sociale huurwoning,Boven modaal,Basisschool,Man
6,Elke bijdrage helpt het klimaat.,Coevorden,Huurwoning,Boven modaal,Middelbare school,Geen antwoord
6,Elke bijdrage helpt het klimaat.,Assen,Particuliere huurwoning,Onder modaal,Wetenschappelijk onderwijs,Vrouw
6,Ik ben groot voorstander van zon en wind.,Assen,Huurwoning,Onder modaal,Beroepsonderwijs,Geen antwoord
6,Ik ben neutraal over dit onderwerp.,Hoogeveen,Sociale huurwoning,Onder modaal,Basisschool,Anders
6,Ik ben groot voorstander van zon en wind.,Coevorden,Huurwoning,Boven modaal,Wetenschappelijk onderwijs,Anders
2,"Duurzaam is goed, maar niet in onze wijk.",De Wolden,Particuliere huurwoning,Onder modaal,Basisschool,Geen antwoord
6,Elke bijdrage helpt het klimaat.,Aa en Hunze,Particuliere huurwoning,Rondom modaal,Beroepsonderwijs,Anders
6,Ik ben neutraal over dit onderwerp.,Aa en Hunze,Koopwoning,Boven modaal,Wetenschappelijk onderwijs,Vrouw
6,Ik ben groot voorstander van zon en wind.,Assen,Sociale huurwoning,Onder modaal,Middelbare school,Vrouw
6,We moeten snel verduurzamen.,Hoogeveen,Koopwoning,Rondom modaal,Wetenschappelijk onderwijs,Man
6,Elke bijdrage helpt het klimaat.,Westerveld,Particuliere huurwoning,Boven modaal,Middelbare school,Geen antwoord
6,Elke bijdrage helpt het klimaat.,Coevorden,Koopwoning,Onder modaal,Middelbare school,Vrouw
6,Ik ben neutraal over dit onderwerp.,Borger-Odoorn,Particuliere huurwoning,Onder modaal,Middelbare school,Vrouw
6,We moeten snel verduurzamen.,Hoogeveen,Particuliere huurwoning,Boven modaal,Beroepsonderwijs,Man
6,We moeten snel verduurzamen.,De Wolden,Sociale huurwoning,Onder modaal,Wetenschappelijk onderwijs,Vrouw
6,Ik ben groot voorstander van zon en wind.,Emmen,Huurwoning,Boven modaal,Beroepsonderwijs,Vrouw
6,We moeten snel verduurzamen.,Aa en Hunze,Particuliere huurwoning,Boven modaal,Beroepsonderwijs,Geen antwoord
6,Duurzame energie is belangrijk.,De Wolden,Particuliere huurwoning,Boven modaal,Beroepsonderwijs,Vrouw
1,Windmolens verstoren het landschap.,Tynaarlo,Koopwoning,Rondom modaal,Wetenschappelijk onderwijs,Geen antwoord
6,Het is goed voor de toekomst.,Aa en Hunze,Huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Geen antwoord
6,Ik ben groot voorstander van zon en wind.,Coevorden,Huurwoning,Boven modaal,Middelbare school,Geen antwoord
6,We moeten snel verduurzamen.,Borger-Odoorn,Particuliere huurwoning,Rondom modaal,Beroepsonderwijs,Vrouw
6,We moeten snel verduurzamen.,Borger-Odoorn,Particuliere huurwoning,Rondom modaal,Beroepsonderwijs,Anders
6,Ik ben groot voorstander van zon en wind.,Tynaarlo,Koopwoning,Onder modaal,Wetenschappelijk onderwijs,Anders
6,We moeten snel verduurzamen.,Tynaarlo,Koopwoning,Rondom modaal,Wetenschappelijk onderwijs,Man
6,Duurzame energie is belangrijk.,Hoogeveen,Koopwoning,Onder modaal,Beroepsonderwijs,Vrouw
3,"Duurzaam is goed, maar niet in onze wijk.",Tynaarlo,Koopwoning,Boven modaal,Middelbare school,Vrouw
6,Ik ben groot voorstander van zon en wind.,Assen,Koopwoning,Onder modaal,Middelbare school,Man
6,Elke bijdrage helpt het klimaat.,Tynaarlo,Koopwoning,Onder modaal,Wetenschappelijk onderwijs,Anders
6,Ik steun zonne- en windenergie als het netjes gebeurt.,Westerveld,Sociale huurwoning,Onder modaal,Basisschool,Vrouw
6,Elke bijdrage helpt het klimaat.,Assen,Koopwoning,Boven modaal,Beroepsonderwijs,Anders
6,Elke bijdrage helpt het klimaat.,De Wolden,Koopwoning,Rondom modaal,Beroepsonderwijs,Geen antwoord
6,Elke bijdrage helpt het klimaat.,Hoogeveen,Koopwoning,Rondom modaal,Wetenschappelijk onderwijs,Geen antwoord
6,We moeten snel verduurzamen.,Borger-Odoorn,Koopwoning,Boven modaal,Basisschool,Anders
1,Windmolens verstoren het landschap.,Emmen,Huurwoning,Rondom modaal,Basisschool,Anders
6,Elke bijdrage helpt het klimaat.,Borger-Odoorn,Huurwoning,Boven modaal,Middelbare school,Vrouw
6,Elke bijdrage helpt het klimaat.,De Wolden,Huurwoning,Rondom modaal,Middelbare school,Anders
6,We moeten snel verduurzamen.,Aa en Hunze,Particuliere huurwoning,Boven modaal,Wetenschappelijk onderwijs,Man
6,Ik ben groot voorstander van zon en wind.,Coevorden,Particuliere huurwoning,Onder modaal,Middelbare school,Vrouw
6,Ik ben groot voorstander van zon en wind.,Aa en Hunze,Particuliere huurwoning,Boven modaal,Basisschool,Vrouw
6,Elke bijdrage helpt het klimaat.,De Wolden,Huurwoning,Onder modaal,Basisschool,Man
1,Ik ben tegen zonneparken in onze buurt.,Borger-Odoorn,Particuliere huurwoning,Boven modaal,Beroepsonderwijs,Man
6,Duurzame energie is belangrijk.,Westerveld,Particuliere huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Anders
6,We moeten snel verduurzamen.,Assen,Particuliere huurwoning,Boven modaal,Beroepsonderwijs,Man
6,We moeten snel verduurzamen.,Assen,Sociale huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Anders
3,"Duurzaam is goed, maar niet in onze wijk.",Coevorden,Sociale huurwoning,Boven modaal,Beroepsonderwijs,Geen antwoord
6,We moeten snel verduurzamen.,Tynaarlo,Huurwoning,Onder modaal,Basisschool,Man
6,We moeten snel verduurzamen.,Westerveld,Sociale huurwoning,Rondom modaal,Basisschool,Vrouw
3,"Zonnepanelen ja, maar op daken.",Hoogeveen,Particuliere huurwoning,Rondom modaal,Basisschool,Man
6,Elke bijdrage helpt het klimaat.,Assen,Sociale huurwoning,Boven modaal,Basisschool,Anders
6,We moeten snel verduurzamen.,Coevorden,Huurwoning,Rondom modaal,Beroepsonderwijs,Geen antwoord
6,Elke bijdrage helpt het klimaat.,Emmen,Koopwoning,Rondom modaal,Middelbare school,Man
6,Ik ben groot voorstander van zon en wind.,Westerveld,Huurwoning,Rondom modaal,Middelbare school,Geen antwoord
6,Het is goed voor de toekomst.,Assen,Sociale huurwoning,Rondom modaal,Basisschool,Man
