score,story,gemeente,woningtype,inkomen,opleiding,gender
5,We moeten snel verduurzamen.,Tynaarlo,Particuliere huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Man
5,Ik ben groot voorstander van zon en wind.,Assen,Koopwoning,Boven modaal,Beroepsonderwijs,Anders
2,Niet ten koste van landbouwgrond.,Emmen,Huurwoning,Onder modaal,Middelbare school,Vrouw
4,Duurzame energie is belangrijk.,Assen,Sociale huurwoning,Onder modaal,Beroepsonderwijs,Man
5,Ik ben groot voorstander van zon en wind.,De Wolden,Huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Man
5,Ik ben groot voorstander van zon en wind.,Coevorden,Koopwoning,Onder modaal,Wetenschappelijk onderwijs,Man
1,Ik ben tegen zonneparken in onze buurt.,Tynaarlo,Particuliere huurwoning,Onder modaal,Middelbare school,Man
5,Elke bijdrage helpt het klimaat.,Aa en Hunze,Huurwoning,Boven modaal,Beroepsonderwijs,Anders
1,Windmolens verstoren het landschap.,Westerveld,Sociale huurwoning,Rondom modaal,Beroepsonderwijs,Man
5,Elke bijdrage helpt het klimaat.,De Wolden,Koopwoning,Boven modaal,Middelbare school,Anders
5,Elke bijdrage helpt het klimaat.,Coevorden,Koopwoning,Rondom modaal,Wetenschappelijk onderwijs,Man
1,Ik ben tegen zonneparken in onze buurt.,Borger-Odoorn,Koopwoning,Onder modaal,Basisschool,Vrouw
5,Ik ben groot voorstander van zon en wind.,De Wolden,Koopwoning,Onder modaal,Wetenschappelijk onderwijs,Geen antwoord
5,We moeten snel verduurzamen.,Assen,Sociale huurwoning,Rondom modaal,Basisschool,Geen antwoord
5,Ik ben groot voorstander van zon en wind.,Aa en Hunze,Koopwoning,Boven modaal,Wetenschappelijk onderwijs,Man
5,Elke bijdrage helpt het klimaat.,Aa en Hunze,Huurwoning,Boven modaal,Wetenschappelijk onderwijs,Anders
5,Elke bijdrage helpt het klimaat.,Aa en Hunze,Particuliere huurwoning,Boven modaal,Wetenschappelijk onderwijs,Anders
5,Ik ben groot voorstander van zon en wind.,Westerveld,Sociale huurwoning,Boven modaal,Wetenschappelijk onderwijs,Vrouw
4,Duurzame energie is belangrijk.,Emmen,Sociale huurwoning,Onder modaal,Middelbare school,Vrouw
5,Ik ben groot voorstander van zon en wind.,De Wolden,Koopwoning,Boven modaal,Beroepsonderwijs,Man
