score,story,gemeente,woningtype,inkomen,opleiding,gender
5,Ik ben erg blij met de overstap naar duurzame energie. Het is goed voor het milieu en toekomstige generaties.,Tynaarlo,Particuliere huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Man
5,Ik heb geen sterke mening over duurzame energie. Het lijkt me een logische ontwikkeling.,Assen,Koopwoning,Boven modaal,Beroepsonderwijs,Anders
2,Ik maak me zorgen over de overlast van windmolens en het verpesten van het landschap.,Emmen,Huurwoning,Onder modaal,Middelbare school,Vrouw
4,Ik ben erg blij met de overstap naar duurzame energie. Het is goed voor het milieu en toekomstige generaties.,Assen,Sociale huurwoning,Onder modaal,Beroepsonderwijs,Man
5,Ik heb geen sterke mening over duurzame energie. Het lijkt me een logische ontwikkeling.,De Wolden,Huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Man
5,Ik maak me zorgen over de overlast van windmolens en het verpesten van het landschap.,Coevorden,Koopwoning,Onder modaal,Wetenschappelijk onderwijs,Man
1,Ik ben erg blij met de overstap naar duurzame energie. Het is goed voor het milieu en toekomstige generaties.,Tynaarlo,Particuliere huurwoning,Onder modaal,Middelbare school,Man
5,Ik heb geen sterke mening over duurzame energie. Het lijkt me een logische ontwikkeling.,Aa en Hunze,Huurwoning,Boven modaal,Beroepsonderwijs,Anders
1,Ik maak me zorgen over de overlast van windmolens en het verpesten van het landschap.,Westerveld,Sociale huurwoning,Rondom modaal,Beroepsonderwijs,Man
5,Ik ben erg blij met de overstap naar duurzame energie. Het is goed voor het milieu en toekomstige generaties.,De Wolden,Koopwoning,Boven modaal,Middelbare school,Anders
5,Ik heb geen sterke mening over duurzame energie. Het lijkt me een logische ontwikkeling.,Coevorden,Koopwoning,Rondom modaal,Wetenschappelijk onderwijs,Man
1,Ik maak me zorgen over de overlast van windmolens en het verpesten van het landschap.,Borger-Odoorn,Koopwoning,Onder modaal,Basisschool,Vrouw
5,Ik ben erg blij met de overstap naar duurzame energie. Het is goed voor het milieu en toekomstige generaties.,De Wolden,Koopwoning,Onder modaal,Wetenschappelijk onderwijs,Geen antwoord
5,Ik heb geen sterke mening over duurzame energie. Het lijkt me een logische ontwikkeling.,Assen,Sociale huurwoning,Rondom modaal,Basisschool,Geen antwoord
5,Ik maak me zorgen over de overlast van windmolens en het verpesten van het landschap.,Aa en Hunze,Koopwoning,Boven modaal,Wetenschappelijk onderwijs,Man
5,Ik ben erg blij met de overstap naar duurzame energie. Het is goed voor het milieu en toekomstige generaties.,Aa en Hunze,Huurwoning,Boven modaal,Wetenschappelijk onderwijs,Anders
5,Ik heb geen sterke mening over duurzame energie. Het lijkt me een logische ontwikkeling.,Aa en Hunze,Particuliere huurwoning,Boven modaal,Wetenschappelijk onderwijs,Anders
5,Ik maak me zorgen over de overlast van windmolens en het verpesten van het landschap.,Westerveld,Sociale huurwoning,Boven modaal,Wetenschappelijk onderwijs,Vrouw
4,Ik ben erg blij met de overstap naar duurzame energie. Het is goed voor het milieu en toekomstige generaties.,Emmen,Sociale huurwoning,Onder modaal,Middelbare school,Vrouw
5,Ik heb geen sterke mening over duurzame energie. Het lijkt me een logische ontwikkeling.,De Wolden,Koopwoning,Boven modaal,Beroepsonderwijs,Man
5,Ik maak me zorgen over de overlast van windmolens en het verpesten van het landschap.,Tynaarlo,Huurwoning,Onder modaal,Beroepsonderwijs,Man
5,Ik ben erg blij met de overstap naar duurzame energie. Het is goed voor het milieu en toekomstige generaties.,De Wolden,Huurwoning,Rondom modaal,Middelbare school,Vrouw
5,Ik heb geen sterke mening over duurzame energie. Het lijkt me een logische ontwikkeling.,Tynaarlo,Koopwoning,Onder modaal,Basisschool,Vrouw
5,Ik maak me zorgen over de overlast van windmolens en het verpesten van het landschap.,Coevorden,Huurwoning,Rondom modaal,Beroepsonderwijs,Man
5,Ik ben erg blij met de overstap naar duurzame energie. Het is goed voor het milieu en toekomstige generaties.,Aa en Hunze,Huurwoning,Boven modaal,Middelbare school,Anders
5,Ik heb geen sterke mening over duurzame energie. Het lijkt me een logische ontwikkeling.,Assen,Koopwoning,Boven modaal,Beroepsonderwijs,Vrouw
5,Ik maak me zorgen over de overlast van windmolens en het verpesten van het landschap.,Aa en Hunze,Sociale huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Man
5,Ik ben erg blij met de overstap naar duurzame energie. Het is goed voor het milieu en toekomstige generaties.,Aa en Hunze,Sociale huurwoning,Boven modaal,Beroepsonderwijs,Vrouw
4,Ik heb geen sterke mening over duurzame energie. Het lijkt me een logische ontwikkeling.,Westerveld,Koopwoning,Boven modaal,Wetenschappelijk onderwijs,Man
5,Ik maak me zorgen over de overlast van windmolens en het verpesten van het landschap.,Hoogeveen,Koopwoning,Boven modaal,Wetenschappelijk onderwijs,Man
2,Ik ben erg blij met de overstap naar duurzame energie. Het is goed voor het milieu en toekomstige generaties.,De Wolden,Huurwoning,Rondom modaal,Basisschool,Man
5,Ik heb geen sterke mening over duurzame energie. Het lijkt me een logische ontwikkeling.,Aa en Hunze,Particuliere huurwoning,Boven modaal,Wetenschappelijk onderwijs,Geen antwoord
5,Ik maak me zorgen over de overlast van windmolens en het verpesten van het landschap.,Coevorden,Sociale huurwoning,Boven modaal,Middelbare school,Anders
4,Ik ben erg blij met de overstap naar duurzame energie. Het is goed voor het milieu en toekomstige generaties.,Tynaarlo,Huurwoning,Boven modaal,Beroepsonderwijs,Geen antwoord
